Date,Observer,start_time,start_hour,Beh_When_Enc
1/6/2008,Obs2,7:25:00,7,Vocalizing
1/7/2008,Obs2,5:55:00,5,Vocalizing
1/8/2008,Obs2,5:33:00,5,Vocalizing
1/8/2008,Obs2,8:44:00,8,Vocalizing
1/9/2008,Obs2,6:27:00,6,Vocalizing
1/9/2008,Obs2,6:31:00,6,Vocalizing
1/10/2008,Obs2,8:18:00,8,Vocalizing
1/11/2008,Obs2,5:55:00,5,Vocalizing
1/12/2008,Obs2,8:10:00,8,Vocalizing
1/14/2008,Obs2,8:14:00,8,Vocalizing
1/14/2008,Obs2,10:19:00,10,Vocalizing
1/14/2008,Obs2,10:55:00,10,Vocalizing
1/14/2008,Obs2,16:50:00,16,Vocalizing
6/11/2008,Obs2,11:13:00,11,Vocalizing
6/12/2008,Obs2,5:45:00,5,Vocalizing
6/12/2008,Obs2,6:25:00,6,Vocalizing
6/17/2008,Obs2,9:34:00,9,Vocalizing
6/18/2008,Obs2,9:21:00,9,Vocalizing
6/18/2008,Obs2,9:33:00,9,Vocalizing
6/22/2008,Obs2,16:20:00,16,Vocalizing
6/23/2008,Obs2,6:30:00,6,Vocalizing
6/26/2008,Obs2,5:45:00,5,Vocalizing
6/26/2008,Obs2,7:15:00,7,Vocalizing
6/26/2008,Obs2,7:59:00,7,Vocalizing
6/26/2008,Obs2,8:56:00,8,Vocalizing
6/26/2008,Obs2,9:29:00,9,Vocalizing
6/27/2008,Obs2,6:34:00,6,Vocalizing
6/27/2008,Obs2,7:46:00,7,Vocalizing
6/28/2008,Obs2,6:20:00,6,Vocalizing
6/28/2008,Obs2,6:30:00,6,Vocalizing
6/28/2008,Obs2,7:03:00,7,Vocalizing
6/28/2008,Obs2,7:25:00,7,Vocalizing
1/11/2009,Obs2,15:14:26,15,Vocalizing
1/16/2009,Obs2,6:10:50,6,Vocalizing
7/12/2009,Obs2,11:10:15,11,Vocalizing
7/12/2009,Obs2,11:45:08,11,Vocalizing
7/14/2009,Obs2,6:11:57,6,Vocalizing
7/14/2009,Obs2,6:13:25,6,Vocalizing
3/13/2010,Obs2,10:41:00,10,Vocalizing
3/14/2010,Obs2,10:37:00,10,Vocalizing
6/22/2010,Obs2,7:47:03,7,Vocalizing
6/22/2010,Obs2,10:00:25,10,Vocalizing
6/22/2010,Obs2,13:30:21,13,Vocalizing
6/27/2010,Obs2,13:59:29,13,Vocalizing
7/6/2010,Obs2,10:08:12,10,Vocalizing
7/6/2010,Obs2,11:16:26,11,Vocalizing
7/7/2010,Obs2,11:40:51,11,Vocalizing
7/13/2010,Obs2,6:22:00,6,Vocalizing
1/8/2011,Obs2,7:30:52,7,Vocalizing
1/13/2011,Obs2,6:43:52,6,Vocalizing
1/17/2011,Obs2,8:49:53,8,Vocalizing
1/21/2011,Obs2,6:58:26,6,Vocalizing
1/21/2011,Obs2,7:03:19,7,Vocalizing
1/22/2011,Obs2,7:36:03,7,Vocalizing
6/19/2011,Obs2,6:45:01,6,Vocalizing
12/8/2011,Obs2,6:45:16,6,Vocalizing
12/8/2011,Obs2,6:57:46,6,Vocalizing
12/8/2011,Obs2,7:01:27,7,Vocalizing
12/8/2011,Obs2,9:39:35,9,Vocalizing
12/9/2011,Obs2,6:39:46,6,Vocalizing
12/9/2011,Obs2,8:36:40,8,Vocalizing
12/10/2011,Obs2,14:41:12,14,Vocalizing
12/12/2011,Obs2,12:18:08,12,Vocalizing
5/26/2012,Obs2,10:01:54,10,Vocalizing
6/3/2012,Obs2,13:50:36,13,Vocalizing
6/10/2012,Obs2,11:15:09,11,Vocalizing
6/15/2012,Obs2,5:42:46,5,Vocalizing
6/15/2012,Obs2,5:55:00,5,Vocalizing
6/17/2012,Obs2,5:28:06,5,Vocalizing
6/18/2012,Obs2,6:16:07,6,Vocalizing
5/16/2013,Obs2,9:37:24,9,Vocalizing
6/2/2013,Obs2,9:20:00,9,Vocalizing
6/2/2013,Obs2,9:23:57,9,Vocalizing
6/5/2013,Obs2,5:29:00,5,Vocalizing
6/5/2013,Obs2,11:21:53,11,Vocalizing
6/10/2013,Obs2,7:44:51,7,Vocalizing
6/10/2013,Obs2,9:23:24,9,Vocalizing
6/10/2013,Obs2,9:32:05,9,Vocalizing
6/11/2013,Obs2,8:44:14,8,Vocalizing
12/11/2013,Obs2,14:14:06,14,Vocalizing
12/13/2013,Obs2,13:25:15,13,Vocalizing
7/2/2014,Obs2,8:19:44,8,Vocalizing
7/2/2014,Obs2,13:22:04,13,Vocalizing
7/14/2014,Obs2,9:52:35,9,Vocalizing
7/20/2014,Obs2,10:58:04,10,Vocalizing
7/23/2014,Obs2,13:17:43,13,Vocalizing
7/25/2014,Obs2,9:46:40,9,Vocalizing
1/1/2015,Obs2,9:01:06,9,Vocalizing
1/4/2015,Obs2,7:20:15,7,Vocalizing
1/9/2015,Obs2,8:36:17,8,Vocalizing
1/10/2015,Obs2,6:28:11,6,Vocalizing
1/15/2015,Obs2,7:17:22,7,Vocalizing
1/17/2015,Obs2,11:48:54,11,Vocalizing
1/23/2015,Obs2,6:51:30,6,Vocalizing
5/27/2015,Obs2,8:49:25,8,Vocalizing
5/31/2015,Obs2,14:20:00,14,Vocalizing
5/31/2015,Obs2,14:39:03,14,Vocalizing
1/5/2016,Obs2,7:29:19,7,Vocalizing
1/5/2016,Obs2,7:36:20,7,Vocalizing
1/6/2016,Obs2,6:46:47,6,Vocalizing
1/7/2016,Obs2,7:09:00,7,Vocalizing
1/7/2016,Obs2,8:09:05,8,Vocalizing
1/7/2016,Obs2,9:36:02,9,Vocalizing
1/8/2016,Obs2,6:22:18,6,Vocalizing
1/8/2016,Obs2,6:46:03,6,Vocalizing
1/9/2016,Obs2,7:15:31,7,Vocalizing
1/13/2016,Obs2,15:22:15,15,Vocalizing
1/17/2016,Obs2,7:05:28,7,Vocalizing
6/14/2016,Obs2,8:19:15,8,Vocalizing
6/19/2016,Obs2,11:55:55,11,Vocalizing
6/21/2016,Obs2,9:46:35,9,Vocalizing
7/17/2015,Obs3,9:49:36,9,Vocalizing
7/17/2015,Obs3,9:57:18,9,Vocalizing
7/23/2015,Obs3,8:33:24,8,Vocalizing
8/6/2015,Obs3,6:01:00,6,VDU/
8/6/2015,Obs3,6:13:01,6,Vocalizing
8/6/2015,Obs3,6:30:06,6,Vocalizing
8/6/2015,Obs3,7:01:56,7,Vocalizing
8/6/2015,Obs3,7:10:21,7,Vocalizing
8/6/2015,Obs3,7:13:53,7,VDU/
8/10/2015,Obs3,7:01:31,7,Vocalizing
8/20/2015,Obs3,6:47:43,6,Vocalizing
8/25/2015,Obs3,6:59:14,6,VDU/
8/26/2015,Obs3,5:50:00,5,Vocalizing
9/8/2015,Obs3,6:45:18,6,Vocalizing
9/9/2015,Obs3,7:13:30,7,Vocalizing
9/10/2015,Obs3,6:02:09,6,Vocalizing
9/10/2015,Obs3,6:46:00,6,VDU/
9/14/2015,Obs3,7:50:46,7,Vocalizing
9/18/2015,Obs3,9:30:00,9,Vocalizing
9/19/2015,Obs3,6:31:57,6,Vocalizing
9/20/2015,Obs3,6:35:53,6,Vocalizing
9/21/2015,Obs3,6:14:00,6,Vocalizing
9/21/2015,Obs3,6:34:39,6,Vocalizing
9/21/2015,Obs3,6:36:35,6,Vocalizing
